PRODUCT_2_GROUP; PRODUCT_3_GROUP; PRODUCT_ID 
Зарплатная дебетовая карта; Студенческая зарплатная карта; 111111
Зарплатная дебетовая карта; Зарплатная карта "1000 мелочей"; 111112
Зарплатная дебетовая карта; Зарплатная карта "1000 мелочей"; 111113
Зарплатный проект "Гибкость"; ЗРПП "Гибкость" для сотрудников на удаленке; 111114
Зарплатный проект "Гибкость"; ЗРПП "Гибкость" для студентов; 111115
Ипотека "Хуторок"; Ипотека "Хуторок" на строительство дачи; 111116
Ипотека "Теремок"; Ипотека "Теремок" для молодых семей; 111117
Ипотека "Теремок"; Ипотека "Теремок" совместно с застройщиком; 111118
Потребительский кредит "Электро"; Потребительский кредит "Электро"; 111119
Потребительский кредит без обеспечения; Потребительский кредит без обеспечения; 111120
Автокредит "Рули!"; Автокредит "Рули!" под авто отечественного производства; 111121
Автокредит "Рули!"; Автокредит "Рули!" под спортивное авто; 111122
Ипотечное страхование; Ипотечное страхование городской недвижимости; 111123
Ипотечное страхование; Ипотечное страхование загородной недвижимости; 111124
Автострахование; Страховка "Тёплая трасса"; 111125
Страхование жизни и здоровья; Страхование жизни и здоровья; 111126
